Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Mio Confort Pack	2020-08-28	$	700000	2016	Blanco	Nafta	5	Manual	1.2	Hatchback	50000	MLA886775195	normal	none	Renault	Clio	Córdoba	Córdoba	none
Renault Clio 1.6 Expression	2020-11-19	$	377000	2006		Nafta	5	Manual	1.6	Hatchback	173000	MLA897954219	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	none
Renault Clio 1.2 Campus 75cv	2020-11-28	$	500000	2012		Nafta	3	Manual	1.2	Hatchback	94000	MLA899205122	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Merlo	none
Renault Clio 1.2 Authentique Pack I 75cv	2020-05-12	$	550000	2012	Negro	Nafta	5	Manual	1.2	Hatchback	88500	MLA900063189	normal	1_red	Renault	Clio	Capital Federal	Capital Federal	Colegiales
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-12	$	550000	2013	Negro	Nafta	3	Manual	1.2	Hatchback	79000	MLA900824849	normal	none	Renault	Clio	Capital Federal	Capital Federal	Villa Luro
Renault Clio 1.2 Mio Dynamique	2020-11-02	$	745000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	63000	MLA838606357	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	La Tablada
Renault Clio 1.2 Mío Authentique Pack	2020-12-17	$	690000	2015	Blanco	Nafta	5	Manual	1.2	Hatchback	48700	MLA901409139	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Pilar
Renault Clio 1.2 Pack Plus	2020-04-12	$	570000	2011	Plateado	Nafta	5	Manual	1.2	Hatchback	105000	MLA900001960	normal	none	Renault	Clio	Córdoba	Córdoba	Urca
Renault Clio 1.2 Mío Authentique Pack Look Abs Abcp	2020-11-30	$	720000	2015		Nafta	5	Manual	1.2	Hatchback	37100	MLA899363573	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Malvinas Argentinas	none
Renault Clio 1.2 Mio Confort Plus Abc	2020-01-12	$	645000	2013	Gris	Nafta	5	Manual	1.2	Hatchback	61000	MLA899534639	normal	none	Renault	Clio	Mendoza	San Rafael	San Rafael
Renault Clio Confort Pack	2020-04-12	$	630000	2015		Nafta	5				120000								
Renault Clio 2.0 F2 Sport	2020-06-10	U$S	13000	2004		Nafta	3	Manual	2.0	Hatchback	134000	MLA901448429	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Pack	2020-11-18	$	720000	2016	Gris	Nafta	3	Manual	1.2	Hatchback	58000								
Renault Clio 1.2 Mio Confort Pack	2020-11-20	$	650000	2016		Nafta	3	Manual	1.2	Hatchback	136000	MLA898035569	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Merlo	none
